profile_id,origin,msb,lsb,program,sound,family,role,support_grade,styles,notes,stability,observed_fields,explicit_unknowns,exact_manual_dnc,community_candidates,completion_state
a3944387562179308551,FACTORY_CORPUS,0,32,0,AcousticPiano GM,PIANO,ACC4,FALLBACK,2,135,UNKNOWN,16,4,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
da986481749ba8aa60d6,FACTORY_CORPUS,120,0,0,Standard Kit GM,DRUM_KIT,DRUM,GOOD,6,4216,CONTEXT_DEPENDENT,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
02f1532efecaddd55a10,FACTORY_CORPUS,120,0,1,Standard Kit RX2,DRUM_KIT,DRUM,STRONG,18,20119,MODERATE,16,4,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
bbfbec4811db788275d2,FACTORY_CORPUS,120,0,2,Standard Kit RX3,DRUM_KIT,DRUM,STRONG,24,27939,CONTEXT_DEPENDENT,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
a45c0ff5dde7d260385c,FACTORY_CORPUS,120,0,3,Ambient Kit RX,DRUM_KIT,DRUM,FALLBACK,2,1738,UNKNOWN,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
d573074075e3e0758152,FACTORY_CORPUS,120,0,4,Pop Std. Kit RX,DRUM_KIT,DRUM,STRONG,13,13523,CONTEXT_DEPENDENT,14,6,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
6188f3efadd6743ce831,FACTORY_CORPUS,120,0,5,Standard Kit RX1,DRUM_KIT,DRUM,STRONG,34,50228,MODERATE,14,6,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
463dea28b74d889056e5,FACTORY_CORPUS,120,0,6,Standard Kit RX4,DRUM_KIT,DRUM,GOOD,6,4776,CONTEXT_DEPENDENT,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
504c64a42cc412e12cd5,FACTORY_CORPUS,120,0,7,Standard Kit 1,DRUM_KIT,DRUM,FALLBACK,1,42,UNKNOWN,14,6,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
46b8e1f3a08aef52bbe8,FACTORY_CORPUS,120,0,8,Room Kit GM,DRUM_KIT,DRUM,FALLBACK,2,412,UNKNOWN,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
